Invention,Description,Background,Category
Artificial Intelligence To Assist Aquaculture,"This technology employs artificial intelligence to identify and predict diseases in aquaculture, particularly in shrimp. This technology also has the potential to be utilized in other types of aquaculture including salmon, trout, tilapia, carp and catfish.","There are currently no commercial therapeutics available for any shrimp diseases, especially viral diseases. Preventing the entry of disease-causing agents in culture ponds remains the predominant form of management in shrimp aquaculture. To identify disease, samples from a shrimp population are physically examined and assessed with diagnostic assays. The technology presented here provides a way to make decisions based on quantitative data.",Agriculture & Horticulture
Flow Cytometric Disease Diagnostics Based On Biopsies,This invention encompasses cellular analysis at the nucleus-level in order to diagnose diseases. This level of detail has wide application across eukaryotic species.,"While single cell analysis is gaining popularity as well as research and development funding, this invention lends itself to more detailed discovery while being technically easier as a method given that the excised cell does not have to remain intact.",Life Sciences
Increasing Salt Tolerance in Arabidopsis Thaliana,"This technology is a method of conferring increased salt tolerance in Arabidopsis Thaliana, a small flowering plant that is widely used as a model organism in plant biology.","With 36% of the world's food supply being produced by irrigated land, a growing challenge exists for food safety and agriculture regarding the treatment methodologies in overcoming salt accumulation in soil. One-fifth of irrigated land world-wide is affected by increased soil salinity, resulting in a global economic cost exceeding $27 billion. Crops grown in high salinity environments experience inhibited/disrupted growth due to osmotic stresses and salt-related injury. Multiple strategies to address this issue have been explored including soil decontamination and plant modification. This technology addresses these issues by employing recent genetic engineering and scientific advances to confer increased salt tolerance. Crop yields may be recovered, ultimately restoring functionality and productivity to land with high salinity soil.",Life Sciences
Monoclonal Antibodies Useful for the Detection of Cryptosporidiosis,"Monoclonal antibodies have been developed that detect specific Cryptosporidium antigens. These antibodies are useful for a broad range of research and development purposes and, importantly, these reagents offer the opportunity for the development of a rapid, highly sensitive diagnostic test, capable of simultaneously detecting multiple causative agents of cryptosporidiosis.","Cryptosporidium, a protozoan parasite, is a major cause of moderate-to-severe diarrhea in humans worldwide and is also problematic in agriculturally important livestock species. Cryptosporidiosis is a common diarrheal disease caused by the parasitic organism. Detection and diagnosis of Cryptosporidium present many challenges including cost, performance, clinical significance and assessment of co-infection with other pathogens. The use of different diagnostic methods, and the inconsistent application of techniques, makes it difficult to compare results from clinical and veterinary studies. Thus, there is a need for the development of a rapid, cost-effective, and reliable diagnostic test to improve detection of cryptosporidiosis.",Life Sciences
Monoclonal Antibodies to the Calpain Small Subunit,University of Arizona researchers have developed antibodies specific to the calpain small subunit. They have developed two hybridoma clones which produce antibodies specific to the 28kDa small subunit of both mu and m-calpain.,"As calpains have been proposed to be proteases important in apoptotic reactions in human cells, further research into their action is essential to understanding apoptotic reactions in diseases such as cancer and HIV. The antibodies are a useful tool in further understanding the mechanisms of these diseases, and developing treatments for them.",Life Sciences
Cytomegalovirus Vaccine Backbone that Cannot be Reactivated,This technology describes a Cytomegalovirus (CMV) vaccine vector with mutations or deletions in newly-found intronic promoters that are important for CMV reactivation.,"Cytomegalovirus (CMV) is a virus within the herpes family that is extremely common. Nearly 50% of adults will have contracted CMV by the time they reach 40 years old. Once contracting CMV, it lays dormant within the body and can become reactivated later in life. While most people have no symptoms of CMV, it can cause issues in pregnant woman because it can be passed on to the fetus and cause developmental and mental problems. It also causes problems during transplantations and causes higher morbidity and mortality rates. Currently, antivirals are used to control infections in transplant patients but these come with adverse side effects and can only be given in lower amounts for a short period of time. Outside of antivirals there are almost no recommended treatment options and there is no vaccination that has been approved to prevent CMV infections.",Healthcare Portfolios
Diagnostic Tool For Estrogen Receptor Positive Breast Cancer Patient Stratification,This technology is a set of biomarkers to stratify estrogen receptor positive breast cancer patients to see if they should receive anti-estrogen therapy or not.,"Breast cancer, the second most common cancer among American women, will effect of 330,000 new patients this year. The most commonly diagnosed breast tumors are estrogen receptor positive tumors and these tumors cause the greatest number of deaths among breast cancer patients. Although it has been long been known that estrogen promotes the growth of estrogen receptor positive breast tumors, studies have shown that estrogen may also play a protective role against cancer cell invasion and metastasis. There are currently a number of immunohistochemistry assays that can be used to determine estrogen receptor status to determine patient suitability for anti-estrogenic hormonal therapy. However, the inventors at University of Arizona found that not all estrogen receptor positive breast cancer patients would benefit from anti-estrogenic hormonal therapy.",Healthcare Portfolios
University Track Pathways Program,This technology is a comprehensive curriculum program for English as a second language (ESL). The program is designed for students to continue earning academic credit while simultaneously learning English. The curriculum is designed for both undergraduate and graduates students and is supported with trained faculty and staff who specialize in English in an academic setting. The program also serves as a pathway for direct admission to the University of Arizona or another partner without a TOEFL or IELTS score,It is estimated that there are over 1.5 billion people learning English globally. The ESL/EFL market is largely driven by adults who need English for academic or job related purposes. The curriculum provided within the technology presented here targets these adults with an array of ESL courses in order to improve learning English in an academic setting. This curriculum is currently utilized at the University of Arizona with proven success.,Software & Information Technology
VGS- Vegetation GIS Data System,This technology is an application for the collection and management of vegetation data and related information that can be used with a geographic information system (GIS) to visualize the data.,"The U.S. federal government is the single largest landowner in the country via their control of approximately 640M acres of land across the Bureau of Land Management, Fish &amp; Wildlife Service, the National Parks Service, and the U.S. Forest Service. These organizations need a means of continually monitoring the state of the land and modeling trends over time. There are currently very few solutions available to do this. Typically, researchers and government employees use tools like Excel Spreadsheets to track and store their data and therefore a need has arisen for a tool more specifically tailored for vegetation management.",Software & Information Technology
Federal Excess Property Management Web Application,"This technology, known as the FedExProp App, is a web application that seeks to help users manage Federal Property and comply with USDA and other Federal Agency reporting requirements associated with the Federal Excess Property Program (FEPP). This easy-to-use application allows users to efficiently search for and update records for the property in their possession. This includes the ability to add pictures to the record. The purpose of the application is to make the extensive record keeping required of users of the FEPP more simple by providing this new interface.",Institutions in the Federal Excess Property Program have many requirements when they acquire property on-loan through the program. There are extensive reporting requirements where the including the record of the location of the property and the eventual disposal of the property. Unfortunately there is not a uniform way that for the institutions to keep track of and report the required information. FedExProp looks to solve this problem by providing users with a simple application that allows them to report information quickly and accurately.,Software & Information Technology
Biomarker Signatures of Platelet Activation,This invention is a mechanical biomarker signature of shear effects on cells for the purpose of detecting thrombosis early so it can be treated or intercepted prior to a thrombotic event.,Thrombosis is a pathophysiological event that can trigger conditions like stroke or heart attack. The efficacy of many antithrombotic agents is shear dependent. Developing a better understanding of the role sheer forces play in thrombosis has many positive medical implications. Mechanical circulatory support (MCS) device performance is impacted by thrombosis and their efficacy can be improved by better understanding platelet activation.,Healthcare Portfolios
“Digital Reflexes”: Quantitation and Signatures of Superficial Reflexes via Stretchable Electronic Wearable Sensors,"This invention provides a method of deep tendon reflex assessment via stretchable electronic sensors containing tri-axial accelerometers and EMG signal detection, which allows for quantitation of motion and EMG ""signatures"" of a specified reflex.","A reflex exam is fundamental in determining neurological issues with upper and lower motor neurons. Traditionally, a standard reflex hammer technique is used to test muscle contraction on a 0-5 scale. This technique is subjectively scored, leading to many inconsistencies. Because of this, there is a need for an innovative alternative to increase performance and reliability.",Healthcare Portfolios
Drug Metabolite as a Non-Invasive Biomarker for Nonalcoholic Steatohepatitis (NASH),This invention is a novel approach to diagnosing patients with Non-Alcoholic Steatohepatitis (NASH). Typically NASH is diagnosed through invasive liver biopsies. This technology evades the traditional risks associated with liver biopsies in favor of a diagnosis that incorporates a pill and collection of corresponding blood or urine analysis to determine the presence of NASH.,"Non-alcoholic Fatty Liver Disease (NAFLD) is the most prevalent chronic liver disease, affecting 25% of people worldwide and 64 million people in the United States alone. NAFLD costs the U.S. healthcare system $103 billion annually. The initial stage of NAFLD is characterized by microvesicular fat disposition. As NAFLD progresses, it can reach a more critical state called Non-Alcoholic Steatohepatitis (NASH) with greater clinical implications, including the emergence of cryptogenic cirrhosis, which develops within 30% to 50% of NASH patients within 10 years of diagnosis. Cirrhosis is the cause of 10% of liver transplants and 13% of hepatocellular carcinoma cases. Thus, the need for a reliable, non-invasive and accurate diagnostic tool is critical in relieving NASH patients from the burdens they face.",Healthcare Portfolios
Libra: Comparative Metagenomics With MapReduce,"Libra is an algorithm for all-vs-all genome sequencing tool to identify problematic microbes. It handles large data sets with speed, accuracy and efficiency.","Most bioinformatics methods need a reference source of known genomes to ensure accurate measurements of depth and variance. Sequencing and comparing wholly unknown genomes with no reference (all-vs-all) can be unwieldy both in terms of computation and storage, making microbes in complicated samples hard to identify. Libra is constructed on a big data framework, which makes it tailored to scale up for large sequences and efficiently store them.",Healthcare Portfolios
Rotationally Shift Invariant And Multi-Layered Microlens Array,"This invention describes a nontraditional use of the Gabor Superlens and is a configuration of multiple microlens array structures. The rotationally shift invariant and multiple microlens array system provides full-field of view imaging wherein all of the incoming light (i.e., light from all directions), in a solid angle of 4pi steradians, is focused inside the optics.","LiDAR and other sensing technologies have need for the collection of light reflected from a scene in full 4Pi steradians with one optical system, but achieving such systems has remained challenging. It has traditionally been considered impossible because it was believed that detectors must be placed outside the optics, blocking the incoming light. Therefore, there is a need for an optical design wherein the detectors are positioned to provide full-field of view imaging and/or photo collection without blocking any of the incoming light.",Engineering & Physical Sciences
Implementing Multiplication And Division In Optics,This invention is an all-optical approach to implementing mathematical operations on a circuit board in a computer. It uses the non-linear response to light of certain types of thin film materials in a novel approach to multiply &amp; divide numbers in an all-optical mathematical circuit. The approach is an analogue method which implies a constant time for mathematical operation and will not increase as the problem size increases in scale,One of the major challenges in electronic computation is the optimization problem occurring in a large data set where each variable depends on or has influence on other variables. Probabilistic graphical models (PGMs) are tools that are used to compute probability distributions over large and complex interacting variables.  Electronic central processing units (CPUs) are not the best tools to address these problems because of  heat generation and bandwidth limitations of electronic devices as they get smaller and faster.,Imaging & Optics
Chemiluminescence Imaging of Oxidative Stress in Vivo,"This patented invention is a new probe to be utilized for chemiluminescent imaging. This probe allows for in vivo whole animal imaging and has currently been tested in mice. The probe itself is sluggish in a natural biological system but is catalyzed in the presence of horseradish peroxidase (HRP), a commonly used molecule often utilized in the production of antibody conjugates. This probe has been found not to be metabolized within a mouse model and is cleared from the body within eight hours, making it a suitable and safe probe for biological systems. The use of this probe could potentially allow for the molecular imaging of a diverse set of biological processes by tagging a targeting ligand with HRP. Therefore, the probe will only be catalyzed and activated where the ligand is bound. Currently, it has been shown to properly label inflammation in a mouse model through the addition of an HRP-antibody conjugate for IgG. This invention has the potential to be utilized at both a research and diagnostic level.","Chemiluminescence imaging has been utilized for many years for bio-assays and in vitro imaging. It is widely preferred over fluorescent imaging because it does not require outside excitation to produce luminescence. This reduces background noise and results in quantifiable and precise luminescence. The drawbacks of chemiluminescence involve the lack of a suitable biological probe as well as the ability to signal specific biological events. Currently, chemiluminescent probes are utilized in vitro and are activated only by oxidation in the presence of reactive oxygen species (ROS). While ROS levels are indicative of many disease states, current probes are not designed to tell these disease states apart or to be utilized within a living system.",Life Sciences
"Vulcanization for tire rubber production with lower temperatures, more efficient crosslinking, and improved properties","Methods of vulcanization using a high sulfur content polymer, instead of elemental sulfur, have been developed for tire rubber production. The resulting high sulfur content polymers are referred to as Chalcogenide Hybrid Inorganic/Organic Polymers (CHIP) materials have improved polymer compatibility and efficient crosslinking. Furthermore, this technology suppresses ""reversion,"" the loss of rubber stiffness over time, which is an undesirable quality.","Vulcanization of rubber and other polymeric materials is a well-established method for enhancing physical properties by chemical crosslinking. Vulcanized materials are generally more thermally, chemically, and physically robust than their non-vulcanized analogs. These increased characteristics are attributed to the formation of carbon-sulfur bonds which allow for bridging of the polymer chains by varying numbers of sulfur atoms to form crosslinked networks. While accelerator additives are used to increase the speed of vulcanization, thus permitting polymerization at lower temperatures and greater efficiency,  vulcanization still requires high temperatures and suffers from inefficient mixing of components due to poor incompatibility which results in incomplete curing and undesirable decomposition. Hence, there is a need for technology for improved polymer compatibility and lower-temperature curing.",Materials
Mosquito Birth Control,"This technology is a new method to control mosquito populations by disrupting mosquito-specific proteins important for embryonic development. Based on a bioinformatics study, a mosquito-specific Eggshell Organizing Factor 1 (EOF1) was discovered, which is not highly conserved in other species. Experiments on mosquitos demonstrated that disrupting the biology of this eggshell formation pathway in the female mosquito after a blood meal results in non-viable eggs.","Approximately 80% of the global population is threatened by vector-transmitted diseases such as malaria, dengue fever, yellow fever, chikungunya, West Nile Virus, zika virus and various encephalitis diseases. Increasing insecticide resistance exacerbates this problem, and insecticides may also harm non-target populations. The transmission of mosquito-borne diseases has become so problematic that both the Bill and Melinda Gates Foundation and the World Health Organization have made mosquito vector control a central feature of their organizational goals. Mosquitocides with new modes of action that are not also harmful to other species are needed. In addition, the Aedes aegypti mosquito breed have drought-tolerant eggshells, making them difficult to eliminate.",Life Sciences
Broadband Reflective Coatings for the Near and Short Wave Infrared using Solution Processable Chalcogenide Hybrid Organic/Inorganic Polymers,"High refractive index polymers are used as broad-band infrared reflective coatings in the near and short wave infrared in this invention. These materials are used in multi-layer thin films alternating with low refractive index polymers to create highly reflective IR Bragg reflectors. Coating system design is highly tunable to obtain desired performance using inexpensive, scalable solution processing.","Infrared mirrors are used in a variety of applications including imaging, laser mirrors and medical tools.  Current limitations to these technologies include cost and opaque properties, limiting their applications.  The technology presented here allows for thin, transparent infrared reflective coatings which may be applied using low-cost methods.",Materials
Imaging Agents for Detection and Treatment of Breast Cancer,"This invention is a breast cancer metastasis-targeting agent capable of identifying boundaries between normal and diseased tissues. These synthesized agents will bind to tumor cells, allowing surgeons to reliably remove diseased tissues.","Surgical biopsy of the sentinel lymph nodes (SLN) is an invasive and expensive burden for patients. It is common for patients to feel short-term pains, swelling and bruising after their SLN biopsy. Numerous untargeted agents, like sulfur colloids, blue dyes and nanomaterials, have been used to identify SLN while lymph node mapping remains an industry standard for the prognosis of breast cancer. Through targeted identification of auxiliary lymph node (ALN) metastasis, this technology can eliminate the need for sentinel node excision, which reduces the risk of pain or infection.",Imaging & Optics
Processor Design Tool,"This technology provides a computational approach that effectuates fully automated Network-on-Chip (NOC) design and optimization that is also applicable to processor design. The approach explores the network configuration space to determine, e.g., optimal network latencies, power consumption, and the underlying link/interconnect allocations for any given number of routers, i.e., the ab initio network-on-chip design.","Multi-core processors have enabled ongoing computer performance improvement (i.e., trying to keep Moore’s law alive) but at the cost of increasing complexity of network design. Most network design is optimized for bandwidth but, for any given bandwidth design, there is a need to address tradeoffs between parameters, such as, but not limited to, latency and power, the latter also being responsible for heat generation. Using a Pareto-optimal design framework, this technology automatically generates ab initio network designs that optimize those tradeoffs according to user specifications or requirements. As such, it is a critical capability that directly supports the bipartisan CHIPS and Science Act of 2022.",Software & Information Technology
Smallsat SSA Station,"This technology is a methodology for using multi-static, long baseline interferometry imaging radar with balloon CubeSat satellites for the tracking, imaging, and classification of space objects, particularly objects that are in geosynchronous Earth orbit (GEO).","Since the launch of Sputnik in 1957, mankind has progressively added more satellites, and consequently more debris, into Earth's orbit. As of 2013, NASA has tracked over 500,000 pieces of debris larger than the size of an average marble, and this number is constantly increasing. The amount of satellites and debris have posed a problem with the ability to track and image objects, especially those that are small. Traditional techniques for tracking these satellites are not sufficient enough to provide high-resolution images and small objects are often missed. This technique improves on a previously disclosed VLBI imaging technique (UA18-117) to better measure objects in geosynchronous Earth orbit, or those objects that do not move relative to the ground-based array.",Imaging & Optics
"Reliable Determination of Contact Angle from the Height, and Volume of Asymmetric Sessile Drops","This technology is a method for finding the contact angle of a fluid on a surface, which is used to measure characteristics of properties in materials.","Current lab methods of determining surface wettability are vulnerable to surface irregularities and system errors, which are difficult to locate and model. This technology overwrites the assumption that more information is always better, using only drop height and volume measurements along with an improved, mathematically elegant calculation. This reduces both uncertainty and systematic errors introduced by the traditional method.",Engineering & Physical Sciences
Use of Catalyzed Hydrogen Peroxide (CHP) Chemical System for Stripping of Implanted State-of-the-Art UV Resists,"This invention addresses the use of Catalyzed Hydrogen Peroxide (CHP) chemical systems at low temperatures, less than 80°C, for disrupting crust formed on deep UV resist layers so that the underlying resist layer can be removed easily. Systematic investigation of variables such as hydrogen peroxide and catalyst concentration and time has led to the development of an optimal formulation for attacking the crust. It has been found that effective removal of high dose implanted PR is possible by first exposing the resist to CHP solution at room temperature followed by immersion in 2:1 sulfuric acid-peroxide mixture (SPM) at 80°C.","Photoresist is typically employed as block mask during ion implantation for front-end-off-line (FEOL) CMOS device processing. Removal of resists exposed to ions during this processing is currently carried out by an oxygen plasma ash method followed by a wet stripping process. Dry stripping methods using oxygen plasma cause particulate contamination and silicon loss and need a follow up wet cleaning step. All wet cleaning methods based on high temperature sulfuric acid-peroxide mixtures (SPM) appear to overcome some of the limitations of dry stripping but still are not very effective in removing carbonized crusts formed by implanted resists at dosages greater than 1016/cm2. Further, high temperature and extreme low pH conditions used in SPM based resist stripping pose a serious safety concern. Eliminating the ash and reducing the temperature of the wet chemical strips will reduce the energy footprint of the strip and simultaneously reduce the number of process steps.",Engineering & Physical Sciences
Chromium Oxide for Enhanced Magnetic Tunnel Junctions,"This invention is a novel magnetic tunnel junction (MTJ) design, which utilizes an antiferromagnetic material in a new configuration to reduce high switching energies in spintronics.","Spintronics represents a promising solution to ever increasing power consumption and heat generation in semiconductor transistors by utilizing both electron spin and charge to store and convey information. Current spintronic technologies may exhibit unacceptably high dynamic power consumption, due to switching energies.",Materials
Rotationally Shift Invariant Optical System,Researchers at the University of Arizona have designed a highly sophisticated LiDAR system that uses a novel optical phased array transmitter in conjunction with a novel spherically shift-invariant (SSI) receiver system to provide depth information over a large 2D scene in a single snapshot. The field of view of the receiver is increased by the novel optical design to properly focus incoming light from a large set of angles. The system also improves the depth resolution and reduces position ambiguity.,"Optical phased arrays have been used for increasing the speed and field of view of LiDAR systems, but the element to element spacing is too large, leading to reduced range and target position ambiguity.  For some applications, SSI systems can increase the field of view, but at large angles, the focal point quickly moves away from the centerline.",Imaging & Optics
"PVAD: a Linear, Pulsatile, Peristaltic Ventricular Assist Device Mechanism","This invention is a modified linear peristaltic pump. This pumps utilizes a pulsatile mechanism, other than a traditional rotary pump that is often used in ventricular assist devices, to pump the blood, which help decrease blood clots.","Ventricular Assistant Devices (VADs) help consistently pump from the lower chambers of the heart to the rest of the body. A number of pumps offer various benefits, but this linear peristaltic pump presents unique value. A peristaltic pump propels fluid, in this case blood, by a process that most closely mimics biological systems and allows for precise control. In addition, peristaltic pumps utilize a closed system, minimizing contamination and reducing maintenance needs through the simpler design. One of the major risks of an VAD is the chance of blood clotting. To help prevent blood clots, blood thinners are proactively prescribed to patients once a VAD has been implanted. Blood thinners also come with their own set of risks and often times require routine lab work to monitor effects. This invention uses a linear version of the peristaltic pump containing a new mechanism that is used to create a milking action for advancing the blood. This device has the potential to decrease the amount of blood clots that are seen with the use of standard VADs.",Healthcare Portfolios
Improved Inferior Vena Cava Filter,This technology is an improved inferior vena cava (IVC) filter that allows for adjustments during deployment to prevent tilting of the filter within the inferior vena cava.,"An IVC filter is used to prevent pulmonary embolism in patients who have built up thrombosis. However, a large percentage of IVC filters cannot be retrieved at a later point due to tilting, which can result in the IVC filter becoming buried in the blood vessel wall. Tilting often occurs due to improper deployment during placement of the IVC. Once the IVC hook becomes embedded in the vessel wall it cannot be removed. Therefore, there is a need for an improved retrievable IVC filter that will prevent tilting.",Healthcare Portfolios
Snapshot Interferometer for Surface Profile and Roughness,"Researchers at the University of Arizona have designed an instrument that can take a ""snapshot"" of a surface's profile and roughness simultaneously. The non-contact metrology tool is high speed with high sensitivity, precision, and resolution. It can be used with a variety of light sources across various applications.","Metrology is an integral part of the automated manufacturing process. As new processes become automated, new technology must be developed to handle the imaging of more complex parts quickly, while being low-cost, scalable and, in many cases, portable. Instruments exist to measure either surface profile or surface roughness, but it would be more cost efficient to have a single instrument which could do both.",Imaging & Optics
Attomicroscopy: Attosecond Electron Microscopy and Diffraction,This technology introduces additional novel components to the conventional optical gating technique and results in electron pulses of less than 20 femtoseconds and even into the attosecond realm. This provides improved temporal resolution for imaging done by electron microscopy and diffraction imaging.,Traditional electron microscopes are limited in their temporal resolution. The current state of the art has only achieved 200 femtosecond electron pulse widths. Using faster optical pulses to gate the electron pulses has been limited by the limitations on the optical pulse widths to drive the gating.,Imaging & Optics
Method of Rapid Nanophotonic Design and a Nanophotonic Waveguide to Fiber Coupler,Researchers at the University of Arizona have developed a rapid design approach for designing nanophotonic devices. The invention is a novel implementation of  an iterative optimal approach related to the known coupled dipole modeling approach. The novel implementation is several orders of magnitude faster than finite difference time domain approaches.,"Most current approaches to the design of nanophotonic devices are based on 2D systems and use slow simulation routines such as finite difference time domain (FDTD). While these approaches are suitable for the design of 2D structures using lithographic approaches, they are not well suited for the design of 3D structures.",Imaging & Optics
The Buzz: Alcohol Education Program,"<a href=""http://www.thebuzz.arizona.edu/"" target=""_blank"">The Buzz</a> is a fun, interactive, game-oriented alcohol education program meant for college and high-school aged students. It is designed to teach students through lively discussion, game play, and competition. This technology is available for licensing by clicking the link.","Universities across the country struggle every year to promote alcohol education, awareness, and moderation among their students. Counselors, health educators, and community leaders say that abusive and underage alcohol consumption continues to be the number one health concern at many universities. Traditional education programs often rely on pedantic presentations that lack engaging material. These programs fail to inform students in a meaningful way.",Creative Works
Transgenic Resistance to Cotton Leaf Curl Disease in Cotton,"This invention utilizes RNA interference techniques to produce a transgenic cotton strain that is resistant to cotton leaf curl disease (CLCuD). These transgenic cotton plants do not produce the characteristic curling of the leaves and do not accumulate the virus. Furthermore, it produces resistance against multiple forms of the virus. This invention has the potential to protect cotton crops from one of the most devastating diseases they encounter.","As the most used fiber in the world, cotton is grown in sixty countries that produce over 100 million new bales annually. The most devastating disease to cotton is cotton leaf curl disease (CLCuD), which is caused by several begomoviral species transmitted through an insect known as the Whitefly. The disease is distinguished by the thickening of the leaf veins, causing a curl in the leaf. This virus greatly affects the cotton crop yield as well as the quality of the cotton that is produced. Historically, Pakistan has experienced the largest impact of CLCuD, where the disease has previously reduced cotton yields by over 30%, a $5 billion loss. The disease has recently spread and is now affecting cotton crops in China and the Philippines as well. Without a proper cure or preventative measures, CLCuD has the potential to result in further cotton production loss.",Agriculture & Horticulture
Soybean as a Protein Biofactory Platform to Produce Epidermal Growth Hormone,This invention is a soybean capable of producing Epidermal Growth Hormone as a therapeutic agent for a number of applications including reduction of necrotizing enterocolitis (NEC).,"Necrotizing enterocolitis (NEC) is a dangerous condition that occurs in about 10% of premature infants. NEC often requires treatments like surgical removal of diseased and dead tissues. Epidermal growth factor (EGF), which is typically found in bodily fluids like amniotic fluid and breast milk, is known to help reduce the onset of NEC in premature infants. This invention provides a novel method to create human EGF through biological manipulation of soybeans.",Agriculture & Horticulture
Custom Chimeric Antigen Receptor (CAR) T-Cell Therapy for Antigen Attack of Cancer Cells,"This technology is a new method to develop patient-specific CAR T-cells for conditions characterized by uncontrolled proliferation of T-cells, such as T-cell lymphoma. This approach directs CAR-T cells only to T cells of a given clonal type. There are millions of T cell clones in each patient, each bearing a unique T cell receptor. Here, the inherent specificity of T cells is used to target only malignant T cells clones, resulting in little or no off-target binding and virtually no on-target off-tumor binding. Since typically all the malignant cells in an individual patient with T cell leukemia/lymphoma derive from just one clone, a CAR-T approach directed against this one clone has exquisite specificity, in principle much more specificity than any other CAR-T approach now available or in the pipeline.","Chimeric antigen receptor (CAR) T-cell therapy provides a promising way of treating cancer, especially in patients with blood-related cancers. It has been a challenge in the T cell setting to identify an appropriate cell-surface target like the CD19-B cell target. More importantly, ablation of a patient's T cell population via CAR-T therapy may not be manageable the way that B cell ablation is (via use of immunoglobulins). And, for any CAR-T approach, off target binding and on-target off-tumor binding that contributes to cytokine release syndrome is a big concern. This new technology aims to decrease off-target side effects by creating a more specified CAR t-cell that is completely patient specific.",Healthcare Portfolios
Producing Environmentally Benign Materials from Mine Tailings using Hydrocarbon Polymerization,"This invention is a way of making mine tailings more environmentally-friendly and efficient. The method stabilizes the mine tailings by creating a solid product of easily removable heavy metals that, in the event of failure, can devastate the surrounding environment if still present. This technology can be used in the nano-composite fabrication of hydrophobic, non-leaching materials that have a wide range of potential applications.","When it comes to mitigating the devastating effects of tailing dam failures, it is not just about preventing a failure in the first place but alleviating the possible damages in the event one does occur. By making the contained mining waste itself less hazardous, there is an additional layer of environmental protection. These solidified tailings produce no volatile organic compounds (VOC) and can then be repurposed into a material that is not only environmentally benign but useful. The result is a nano-composite fabrication that is water-and stress-resistant.",Engineering & Physical Sciences
Genetically Engineered Smart Biopolymer to Combat a Broad Range of Microbial Infections,"This technology is a platform to develop stable protein polymers that have attached antimicrobial peptides (AMPs). This platform involves a novel approach to structurally modify, synthesize and minimize the cost of AMP polymers, specifically for use within clinical settings.","Antimicrobial peptides (AMPs) are more efficient at killing antimicrobial-resistant (AMR) microorganisms than antibiotic, antiviral or antifungal drugs. However, AMPs are quickly degraded in the bloodstream and require high dosages, which can have adverse side effects, limiting their uses in a clinical setting. To reduce degradation and the need for higher dosages, AMPs are being attached to polymers to produce AMP incorporated biomaterials such as nanoparticles, membranes and films. Unfortunately, the production of AMP polymers requires complex chemical synthesis methods, resulting in inconsistent AMPs and poor clinical efficacy. This invention addresses the current inadequacies through simplified synthetic methods with the capability to structurally modify the peptides and tethers the peptides to a polymer. This process preserves the peptides biological activity and prolongs the life of the peptides in order to make AMP therapies and treatments clinically accessible.",Materials
Room Scale Virtual/Hybrid Reality Endoscopic Surgery Simulation System Using and Synchronized Patient-Specific Anatomy Virtual and Physical Models,This invention provides medical students and professionals the ability to practice surgical techniques in virtual reality with true haptic feedback. This technology is currently designed for otolaryngology procedures where users are provided with a virtual reality headset and imitation medical tools for operating on a tangible model head.,"Typically, medical students are able to practice surgical techniques on a cadaver one time during their education. While this is helpful, students would benefit from being able to practice their surgical procedures multiple times throughout medical school. Studies show that limited surgical exposure in medical school corresponds to longer surgery times and more complications after graduate school. Although virtual surgery is an option already on the market, the technology presented here builds upon what's currently available by enabling haptic feedback within virtual surgery.",Healthcare Portfolios
Endoscope With Haptic Feedback and VR Controllers for Virtual Reality Surgical Training System,This invention provides medical students and professionals the ability to practice surgical techniques in virtual reality with true haptic feedback. This technology is currently designed for otolaryngology procedures where users are provided with a virtual reality headset and imitation medical tools for operating on a tangible model head.,"Typically, medical students are able to practice surgical techniques on a cadaver one time during their education. While this is helpful, students would benefit from being able to practice their surgical procedures multiple times throughout medical school. Studies show that limited surgical exposure in medical school corresponds to longer surgery times and more complications after graduate school. Although virtual surgery is an option already on the market, the technology presented here builds upon what's currently available by enabling haptic feedback within virtual surgery.",Healthcare Portfolios
3D Rendering and Endoscope Tracking Software for Virtual Reality Surgical Training System with Haptic Feedback,This invention provides medical students and professionals the ability to practice surgical techniques in virtual reality with true haptic feedback. This technology is currently designed for otolaryngology procedures where users are provided with a virtual reality headset and imitation medical tools for operating on a tangible model head.,"Typically, medical students are able to practice surgical techniques on a cadaver one time during their education. While this is helpful, students would benefit from being able to practice their surgical procedures multiple times throughout medical school. Studies show that limited surgical exposure in medical school corresponds to longer surgery times and more complications after graduate school. Although virtual surgery is an option already on the market, the technology presented here builds upon what's currently available by enabling haptic feedback within virtual surgery.",Healthcare Portfolios
Injectable Protein-Based Hydrogels with Ligand-Mediated Reinforcement for Long-Term In Vivo Applications,"This technology is a protein-based hydrogel that uses cross-links to self-assemble after injection. The technology addresses the issue with in vivo use of hydrogels by merging the biocompatability of a protein hydrogel with a reinforced rupture force typically found in chemical hydrogels. An injectable hydrogel with these properties has immense potential for use in advanced wound care, drug delivery and tissue repair.","Hydrogels have compositions of various strengths, breathability, duration and sterility. These compositions are being quickly adopted for advanced wound care, primarily for burns, necrotic wounds, and to fill cavities. Hydrogels are limited to external wounds given their lack of shear strength (ability of a hydrogel to maintain its form after injection), and other complications like unwanted in vivo responses. The use of hydrogels is limited in drug delivery for the same reasons. The technology described here has the potential to overcome these strength limitations, while retaining the positive features of a protein hydrogel.",Materials
